t_perf,lab_model,weights,phase,proc_cpu_pct,proc_rss_gb,sys_cpu_pct,sys_ram_pct,cpu_freq_mhz
53490.9647886,yolo26x,yolo26x.pt,measure,778.3,0.7490959167480469,70.4,94.0,2515.0
53491.7532723,yolo26x,yolo26x.pt,measure,774.2,0.7490959167480469,82.3,94.0,2515.0
53492.5474414,yolo26x,yolo26x.pt,measure,790.1,0.7490959167480469,76.0,94.0,2515.0
53493.3732428,yolo26x,yolo26x.pt,measure,771.8,0.7490997314453125,78.1,94.0,2515.0
53494.1850436,yolo26x,yolo26x.pt,measure,751.5,0.7490959167480469,83.5,94.0,2515.0
53495.0290975,yolo26x,yolo26x.pt,measure,751.6,0.7491035461425781,80.9,94.0,2515.0
53495.8169493,yolo26x,yolo26x.pt,measure,765.5,0.7490997314453125,80.1,94.0,2515.0
53496.6209788,yolo26x,yolo26x.pt,measure,790.1,0.7491035461425781,81.4,94.0,2515.0
53497.4086028,yolo26x,yolo26x.pt,measure,781.3,0.7490997314453125,81.9,94.2,2515.0
53498.2120517,yolo26x,yolo26x.pt,measure,735.1,0.7490997314453125,80.9,94.5,2515.0
53499.0149339,yolo26x,yolo26x.pt,measure,764.6,0.7490959167480469,80.2,92.4,2515.0
53499.8131061,yolo26x,yolo26x.pt,measure,786.2,0.7490959167480469,82.0,92.4,2515.0
53500.6219261,yolo26x,yolo26x.pt,measure,767.8,0.7490959167480469,73.3,92.6,2515.0
53501.4199392,yolo26x,yolo26x.pt,measure,803.8,0.7490959167480469,78.9,92.6,2515.0
53502.2276534,yolo26x,yolo26x.pt,measure,782.2,0.7490959167480469,81.7,92.6,2515.0
53504.2576766,yolo26n-seg,yolo26n-seg.pt,warmup,129.9,0.7609519958496094,39.6,92.8,2515.0
53505.0583516,yolo26n-seg,yolo26n-seg.pt,warmup,703.9,0.765380859375,75.1,93.0,2515.0
53505.5846109,yolo26n-seg,yolo26n-seg.pt,warmup,782.7,0.7671279907226562,72.4,92.9,2515.0
53506.128502,yolo26n-seg,yolo26n-seg.pt,warmup,815.1,0.7671546936035156,70.8,93.0,2515.0
53506.6646639,yolo26n-seg,yolo26n-seg.pt,warmup,714.1,0.7671623229980469,84.6,93.1,2515.0
53507.1917533,yolo26n-seg,yolo26n-seg.pt,warmup,805.5,0.7671623229980469,74.8,93.1,2515.0
53507.7186755,yolo26n-seg,yolo26n-seg.pt,measure,753.3,0.7671699523925781,78.6,93.2,2515.0
53508.2314188,yolo26n-seg,yolo26n-seg.pt,measure,763.1,0.7671737670898438,84.2,93.3,2515.0
53508.7741413,yolo26n-seg,yolo26n-seg.pt,measure,725.5,0.7671737670898438,90.0,93.3,2515.0
53509.31138,yolo26n-seg,yolo26n-seg.pt,measure,644.4,0.7671699523925781,92.0,93.3,2515.0
53509.8583884,yolo26n-seg,yolo26n-seg.pt,measure,688.4,0.7671775817871094,89.3,93.2,2515.0
53510.3828747,yolo26n-seg,yolo26n-seg.pt,measure,726.8,0.7617835998535156,77.0,93.3,2515.0
53510.9567384,yolo26n-seg,yolo26n-seg.pt,measure,709.0,0.7617874145507812,93.0,93.4,2515.0
53511.4952122,yolo26n-seg,yolo26n-seg.pt,measure,699.8,0.7617835998535156,82.7,93.3,2515.0
53512.0419824,yolo26n-seg,yolo26n-seg.pt,measure,711.3,0.7617835998535156,90.0,93.4,2515.0
53512.5879221,yolo26n-seg,yolo26n-seg.pt,measure,771.3,0.7617874145507812,82.9,93.5,2515.0
53513.1479171,yolo26n-seg,yolo26n-seg.pt,measure,729.9,0.7617874145507812,86.5,93.7,2515.0
53513.6649019,yolo26n-seg,yolo26n-seg.pt,measure,734.2,0.7617721557617188,82.8,93.9,2515.0
53514.2374225,yolo26n-seg,yolo26n-seg.pt,measure,738.2,0.7617759704589844,79.4,93.9,2515.0
53514.7517085,yolo26n-seg,yolo26n-seg.pt,measure,770.6,0.7617721557617188,80.9,93.9,2515.0
53515.271479,yolo26n-seg,yolo26n-seg.pt,measure,740.1,0.7617721557617188,79.3,93.9,2515.0
53515.7931704,yolo26n-seg,yolo26n-seg.pt,measure,804.0,0.7617721557617188,68.4,93.8,2515.0
53516.4214674,yolo26n-seg,yolo26n-seg.pt,measure,792.5,0.7617683410644531,71.5,93.8,2515.0
53516.9766758,yolo26n-seg,yolo26n-seg.pt,measure,743.8,0.7617759704589844,77.1,93.5,2515.0
53517.4872507,yolo26n-seg,yolo26n-seg.pt,measure,812.5,0.7617835998535156,77.3,93.7,2515.0
53518.0212234,yolo26n-seg,yolo26n-seg.pt,measure,625.6,0.7617759704589844,95.0,94.4,2515.0
53518.6415405,yolo26n-seg,yolo26n-seg.pt,measure,415.6,0.76177978515625,100.0,95.2,2515.0
53519.1819743,yolo26n-seg,yolo26n-seg.pt,measure,671.3,0.76220703125,88.3,94.4,2515.0
53519.7047586,yolo26n-seg,yolo26n-seg.pt,measure,804.0,0.76220703125,72.7,94.6,2515.0
53520.2426918,yolo26n-seg,yolo26n-seg.pt,measure,722.7,0.76220703125,86.2,95.2,2515.0
53520.8048432,yolo26n-seg,yolo26n-seg.pt,measure,757.7,0.7622108459472656,87.3,95.8,2515.0
53521.3346153,yolo26n-seg,yolo26n-seg.pt,measure,762.1,0.7622108459472656,82.1,96.0,2515.0
53521.8626331,yolo26n-seg,yolo26n-seg.pt,measure,769.1,0.7622108459472656,83.7,96.1,2515.0
53523.5812688,yolo26n-pose,yolo26n-pose.pt,warmup,140.3,0.7719345092773438,40.1,95.3,2515.0
53524.3502216,yolo26n-pose,yolo26n-pose.pt,warmup,626.1,0.7751731872558594,67.8,95.3,2515.0
53524.9152138,yolo26n-pose,yolo26n-pose.pt,warmup,784.0,0.7780838012695312,73.9,95.5,2515.0
53525.5241325,yolo26n-pose,yolo26n-pose.pt,warmup,727.5,0.7780838012695312,79.1,95.6,2515.0
53526.0877985,yolo26n-pose,yolo26n-pose.pt,warmup,784.0,0.7780990600585938,73.6,95.3,2515.0
53526.6787217,yolo26n-pose,yolo26n-pose.pt,measure,749.7,0.7781028747558594,77.4,94.7,2515.0
53527.245685,yolo26n-pose,yolo26n-pose.pt,measure,767.3,0.7781028747558594,80.2,94.5,2515.0
53527.834783,yolo26n-pose,yolo26n-pose.pt,measure,776.0,0.7781028747558594,78.5,94.2,2515.0
53528.4055567,yolo26n-pose,yolo26n-pose.pt,measure,754.9,0.7781028747558594,77.5,94.0,2515.0
53528.9858474,yolo26n-pose,yolo26n-pose.pt,measure,811.0,0.7781028747558594,70.4,93.8,2515.0
53529.5745235,yolo26n-pose,yolo26n-pose.pt,measure,748.3,0.7729530334472656,79.1,94.5,2515.0
53530.1321243,yolo26n-pose,yolo26n-pose.pt,measure,649.4,0.7727203369140625,79.8,95.5,2515.0
53530.7177383,yolo26n-pose,yolo26n-pose.pt,measure,719.1,0.7727203369140625,80.5,95.2,2515.0
53531.2844709,yolo26n-pose,yolo26n-pose.pt,measure,729.9,0.7727203369140625,86.0,95.1,2515.0
53531.8765953,yolo26n-pose,yolo26n-pose.pt,measure,735.1,0.7727203369140625,78.0,95.1,2515.0
53532.4687883,yolo26n-pose,yolo26n-pose.pt,measure,691.8,0.7727203369140625,83.6,94.4,2515.0
53533.0327116,yolo26n-pose,yolo26n-pose.pt,measure,807.6,0.7727203369140625,71.9,93.8,2515.0
53533.6029939,yolo26n-pose,yolo26n-pose.pt,measure,738.0,0.7726898193359375,76.4,93.4,2515.0
53534.1691026,yolo26n-pose,yolo26n-pose.pt,measure,772.9,0.7726898193359375,81.8,92.0,2515.0
53534.7448923,yolo26n-pose,yolo26n-pose.pt,measure,724.5,0.7726898193359375,74.4,91.6,2515.0
53535.2814671,yolo26n-pose,yolo26n-pose.pt,measure,748.9,0.7726898193359375,74.6,91.5,2515.0
53535.869734,yolo26n-pose,yolo26n-pose.pt,measure,714.1,0.7727394104003906,74.7,91.5,2515.0
53536.4041251,yolo26n-pose,yolo26n-pose.pt,measure,772.4,0.7727088928222656,76.4,91.5,2515.0
53536.9494027,yolo26n-pose,yolo26n-pose.pt,measure,781.2,0.7727088928222656,74.1,91.5,2515.0
53537.5267293,yolo26n-pose,yolo26n-pose.pt,measure,720.5,0.7727088928222656,77.9,91.5,2515.0
53538.0794282,yolo26n-pose,yolo26n-pose.pt,measure,809.9,0.7727088928222656,71.1,91.6,2515.0
53538.6546766,yolo26n-pose,yolo26n-pose.pt,measure,779.9,0.7726898193359375,64.6,91.5,2515.0
53539.190882,yolo26n-pose,yolo26n-pose.pt,measure,794.5,0.7726898193359375,72.6,91.6,2515.0
53539.7828491,yolo26n-pose,yolo26n-pose.pt,measure,762.8,0.7726898193359375,68.5,91.6,2515.0
53540.3458837,yolo26n-pose,yolo26n-pose.pt,measure,764.6,0.7726898193359375,71.9,91.6,2515.0
53540.907679,yolo26n-pose,yolo26n-pose.pt,measure,771.5,0.7726898193359375,73.1,91.6,2515.0
53541.4778307,yolo26n-pose,yolo26n-pose.pt,measure,767.7,0.7726898193359375,72.4,91.6,2515.0
